IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 9.333333333333334106e-03
2.442002442002442000e-04 4.705882352940000263e-02 1.539999999999999980e-01
4.884004884004884001e-04 5.882352941180000322e-02 2.656666666666666621e-01
7.326007326007326001e-04 7.058823529409999353e-02 4.233333333333333393e-01
9.768009768009768001e-04 7.450980392160000410e-02 4.956666666666666998e-01
1.221001221001221000e-03 8.235294117649999412e-02 6.506666666666667265e-01
1.465201465201465200e-03 8.627450980390000135e-02 7.379999999999999893e-01
1.709401709401709400e-03 9.411764705880000526e-02 9.426666666666666528e-01
1.953601953601953600e-03 9.803921568630000194e-02 1.062999999999999945e+00
2.197802197802197800e-03 1.019607843140000053e-01 1.190333333333333465e+00
2.442002442002442000e-03 1.058823529409999992e-01 1.328666666666666885e+00
2.686202686202686200e-03 1.098039215689999987e-01 1.474999999999999867e+00
3.174603174603174600e-03 1.137254901960000064e-01 1.639000000000000012e+00
3.418803418803418800e-03 1.176470588240000059e-01 1.789333333333333220e+00
3.663003663003663000e-03 1.215686274509999998e-01 1.964000000000000190e+00
4.151404151404151401e-03 1.254901960779999937e-01 2.141666666666666163e+00
4.395604395604395601e-03 1.294117647059999932e-01 2.342000000000000082e+00
4.884004884004884001e-03 1.333333333329999870e-01 2.552333333333333343e+00
5.372405372405372401e-03 1.372549019609999865e-01 2.766999999999999904e+00
5.616605616605616601e-03 1.411764705880000081e-01 3.008999999999999897e+00
6.349206349206349201e-03 1.450980392160000076e-01 3.260000000000000231e+00
6.837606837606837601e-03 1.490196078430000015e-01 3.486000000000000210e+00
7.081807081807081801e-03 1.529411764710000010e-01 3.749333333333333851e+00
7.814407814407814401e-03 1.568627450979999949e-01 4.036666666666666181e+00
8.302808302808302801e-03 1.607843137249999887e-01 4.321000000000000618e+00
8.791208791208791201e-03 1.647058823529999882e-01 4.606000000000000760e+00
9.523809523809524669e-03 1.686274509800000099e-01 4.915999999999999481e+00
1.001221001221001133e-02 1.725490196080000094e-01 5.230000000000000426e+00
1.074481074481074480e-02 1.764705882350000032e-01 5.582000000000000739e+00
1.147741147741147827e-02 1.803921568630000027e-01 5.915000000000000036e+00
1.221001221001221000e-02 1.843137254899999966e-01 6.310666666666667091e+00
1.294261294261294173e-02 1.882352941179999961e-01 6.665333333333332888e+00
1.367521367521367520e-02 1.921568627449999900e-01 7.038000000000000256e+00
1.440781440781440867e-02 1.960784313729999895e-01 7.451666666666667105e+00
1.538461538461538547e-02 2.000000000000000111e-01 7.838333333333333819e+00
1.611721611721611547e-02 2.039215686270000050e-01 8.270666666666665279e+00
1.684981684981684893e-02 2.078431372550000045e-01 8.712000000000001521e+00
1.782661782661782574e-02 2.117647058819999983e-01 9.181333333333332902e+00
1.880341880341880254e-02 2.156862745099999978e-01 9.689333333333335574e+00
1.978021978021977934e-02 2.196078431369999917e-01 1.009333333333333194e+01
2.075702075702075614e-02 2.235294117649999912e-01 1.057666666666666622e+01
2.173382173382173294e-02 2.274509803920000128e-01 1.109999999999999964e+01
2.271062271062270974e-02 2.313725490200000123e-01 1.161999999999999922e+01
2.368742368742368654e-02 2.352941176470000062e-01 1.221000000000000085e+01
2.490842490842491014e-02 2.392156862750000057e-01 1.270333333333333314e+01
2.588522588522588347e-02 2.431372549019999996e-01 1.331666666666666821e+01
2.710622710622710707e-02 2.470588235289999934e-01 1.386333333333333151e+01
2.832722832722832720e-02 2.509803921570000207e-01 1.449000000000000021e+01
2.954822954822954734e-02 2.549019607840000146e-01 1.505333333333333279e+01
3.076923076923077094e-02 2.588235294119999863e-01 1.564000000000000057e+01
3.199023199023198760e-02 2.627450980389999802e-01 1.632333333333333414e+01
3.321123321123321120e-02 2.666666666670000074e-01 1.692333333333333201e+01
3.443223443223443481e-02 2.705882352940000013e-01 1.766666666666666785e+01
3.614163614163613814e-02 2.745098039219999730e-01 1.829666666666666330e+01
3.736263736263736174e-02 2.784313725490000224e-01 1.894000000000000128e+01
3.858363858363858534e-02 2.823529411760000163e-01 1.971999999999999886e+01
4.029304029304029561e-02 2.862745098039999880e-01 2.041000000000000014e+01
4.175824175824175560e-02 2.901960784309999819e-01 2.112666666666666870e+01
4.322344322344322254e-02 2.941176470590000092e-01 2.195333333333333314e+01
4.468864468864468947e-02 2.980392156860000030e-01 2.271666666666666856e+01
4.639804639804639974e-02 3.019607843139999748e-01 2.346333333333333471e+01
4.786324786324785974e-02 3.058823529410000241e-01 2.429333333333333300e+01
4.957264957264957000e-02 3.098039215689999959e-01 2.516000000000000014e+01
5.128205128205128027e-02 3.137254901959999898e-01 2.588666666666666671e+01
5.274725274725274721e-02 3.176470588240000170e-01 2.680333333333333101e+01
5.470085470085470081e-02 3.215686274510000109e-01 2.766000000000000014e+01
5.641025641025641107e-02 3.254901960780000048e-01 2.858666666666666245e+01
5.836385836385836468e-02 3.294117647059999765e-01 2.943333333333333357e+01
6.007326007326007494e-02 3.333333333330000259e-01 3.033999999999999986e+01
6.178266178266178521e-02 3.372549019609999976e-01 3.130666666666666131e+01
6.373626373626373187e-02 3.411764705879999915e-01 3.221666666666666856e+01
6.568986568986569241e-02 3.450980392160000187e-01 3.327333333333334053e+01
6.788766788766788240e-02 3.490196078430000126e-01 3.424333333333333229e+01
6.984126984126984294e-02 3.529411764709999844e-01 3.524000000000000199e+01
7.179487179487178961e-02 3.568627450979999782e-01 3.620666666666667055e+01
7.374847374847375014e-02 3.607843137250000276e-01 3.733333333333333570e+01
7.619047619047619735e-02 3.647058823529999994e-01 3.825999999999999801e+01
7.789987789987790068e-02 3.686274509799999932e-01 3.943999999999999773e+01
8.034188034188034788e-02 3.725490196080000205e-01 4.042333333333333911e+01
8.229548229548229454e-02 3.764705882350000143e-01 4.172333333333333627e+01
8.498168498168498508e-02 3.803921568629999861e-01 4.277666666666667084e+01
8.717948717948717507e-02 3.843137254899999800e-01 4.378333333333333144e+01
8.913308913308913561e-02 3.882352941180000072e-01 4.497999999999999687e+01
9.157509157509156894e-02 3.921568627450000011e-01 4.615666666666666629e+01
9.401709401709401615e-02 3.960784313729999728e-01 4.752000000000000313e+01
9.694749694749695001e-02 4.000000000000000222e-01 4.850333333333333030e+01
9.890109890109889668e-02 4.039215686270000161e-01 4.975333333333333030e+01
1.013431013431013439e-01 4.078431372549999878e-01 5.093999999999999773e+01
1.037851037851037911e-01 4.117647058819999817e-01 5.235666666666666202e+01
1.067155067155067111e-01 4.156862745100000089e-01 5.371000000000000085e+01
1.094017094017094016e-01 4.196078431370000028e-01 5.503666666666666885e+01
1.120879120879120922e-01 4.235294117649999746e-01 5.625666666666666771e+01
1.145299145299145255e-01 4.274509803920000239e-01 5.756000000000000227e+01
1.172161172161172160e-01 4.313725490199999957e-01 5.884666666666667112e+01
1.199023199023199066e-01 4.352941176469999895e-01 6.049000000000000199e+01
1.233211233211233271e-01 4.392156862750000168e-01 6.173333333333332718e+01
1.257631257631257604e-01 4.431372549020000107e-01 6.316999999999999460e+01
1.286935286935286804e-01 4.470588235290000045e-01 6.448666666666666458e+01
1.313797313797313848e-01 4.509803921569999763e-01 6.608666666666665890e+01
1.345543345543345481e-01 4.549019607840000257e-01 6.745666666666666345e+01
1.374847374847374959e-01 4.588235294119999974e-01 6.907666666666666799e+01
1.406593406593406592e-01 4.627450980389999913e-01 7.048000000000000398e+01
1.435897435897435792e-01 4.666666666670000185e-01 7.213999999999998636e+01
1.470085470085470136e-01 4.705882352940000124e-01 7.363666666666667027e+01
1.499389499389499336e-01 4.745098039219999841e-01 7.538000000000000966e+01
1.536019536019536114e-01 4.784313725489999780e-01 7.690000000000000568e+01
1.565323565323565314e-01 4.823529411760000274e-01 7.830333333333332746e+01
1.594627594627594513e-01 4.862745098039999991e-01 7.989000000000000057e+01
1.626373626373626424e-01 4.901960784309999930e-01 8.157333333333332348e+01
